,start,end,phoneme,f1
0,0.96,1.005,i,446.6751591862959
1,1.02,1.065,n,298.39504727445603
2,1.11,1.155,t̪,585.8563883251252
3,1.17,1.215,u,825.1766326308237
4,1.26,1.305,h,1182.7692313914354
5,1.32,1.365,æ,747.0236640929987
6,1.47,1.515,p,816.0244792323102
7,1.56,1.605,i,280.89280048390765
8,1.71,1.755,p,661.6454995341592
9,1.77,1.815,a,867.949875585984
10,1.86,1.905,j,762.6639314424453
11,2.01,2.055,ɡ,267.7105485466246
12,2.07,2.115,æ,555.9825523151558
13,2.13,2.175,l,366.5656033537548
14,2.19,2.235,o,413.18462405554
15,2.37,2.415,v,881.0986662914153
16,2.43,2.475,æ,570.3346327374768
17,2.49,2.535,n,318.32402681796947
18,2.58,2.625,t̪ʰ,402.4697315220778
19,2.64,2.685,æ,528.9512328825098
20,2.7,2.745,ɾ,1333.1664450992944
21,2.76,2.805,k,1364.6499524008625
22,2.82,2.865,æ,425.81530353698133
23,2.88,2.925,n,287.23265026848725
24,2.97,3.015,p,640.1708073331138
25,3.03,3.075,æ,775.2669255294795
26,3.18,3.225,ʝ,1268.1755854619241
27,3.27,3.315,æ,833.5201213264663
28,3.39,3.435,s,1208.5531370461606
29,3.48,3.525,t̪,836.9729287791184
30,3.54,3.585,i,293.44107447086486
31,3.69,3.735,iː,327.8494389853039
32,3.75,3.795,f,193.77726862508138
33,3.87,3.915,t̪ʰ,821.286199758542
34,3.93,3.975,u,375.78724689203375
35,4.41,4.455,w,336.0130675535451
36,4.44,4.485,uː,422.073430919505
37,4.5,4.545,n,350.71674410898703
38,4.62,4.665,i,366.38377643101256
39,4.71,4.755,k,835.7147509454347
40,4.77,4.815,æ,609.9963855281154
41,4.83,4.875,ɾ,408.75400080334384
42,4.89,4.935,a,505.2019006671967
43,4.98,5.025,n,312.98065871524153
44,5.07,5.115,t̪ʰ,418.82921694234295
45,5.13,5.175,e,758.0021733329746
46,5.19,5.235,j,494.9614883192235
47,5.28,5.325,æ,351.2853114902568
48,5.37,5.415,n,280.6278040064854
49,5.55,5.595,l,357.24018536173537
50,5.58,5.625,uː,344.6992142792916
51,5.64,5.685,k,912.9443443348976
52,5.7,5.745,æ,495.8735775259467
53,5.76,5.805,ɾ,408.8663903928285
54,5.79,5.835,a,401.51502712184123
55,5.88,5.925,ɟ,479.3837522103394
56,5.91,5.955,iː,527.6976826774288
57,6.03,6.075,t̪ʰ,769.7388599387037
58,6.09,6.135,æ,658.1834722885075
59,6.18,6.225,l,394.0470603411028
60,6.21,6.255,iː,398.1502531095579
61,6.3,6.345,ʂ,895.887512915513
62,6.36,6.405,uː,320.7584370491562
63,6.39,6.435,v,336.25222221366687
64,6.48,6.525,t̪,946.5814735464754
65,6.54,6.585,uː,417.69325659903916
66,6.66,6.705,k,1168.558868328479
67,6.72,6.765,t̪,1165.983093677599
68,6.84,6.885,l̪,429.1563950550825
69,6.9,6.945,i,451.74982342935755
