,start,end,phoneme,f1
0,0.9,0.945,t̪,871.7718700644119
1,0.96,1.005,u,388.4290883841286
2,1.05,1.095,n,418.58382951198956
3,1.08,1.125,e,561.6428829908716
4,1.26,1.305,ʂ,1996.332913421275
5,1.38,1.4249999999999998,i,313.88397287184534
6,1.56,1.605,a,820.3564918414055
7,1.74,1.785,m,392.6353012776384
8,1.77,1.815,a,625.4442119236834
9,1.92,1.965,t̪,1047.0172078822916
10,1.98,2.025,u,413.8900326614513
11,2.16,2.205,l̪,329.05324182312864
12,2.19,2.235,i,391.31243165253306
13,2.28,2.325,b,228.3387081460789
14,2.34,2.385,iː,297.83762129142985
15,2.46,2.505,a,760.3432118825161
16,2.58,2.625,n,304.24786486795455
17,2.64,2.685,a,591.1170717713928
18,2.7,2.745,ɾ,259.05674019562395
19,2.76,2.805,u,339.60483535875085
20,2.82,2.865,ɡ,499.21402725008
21,2.88,2.925,e,392.9693334753207
22,3.24,3.285,ɡ,549.3349384595598
23,3.3,3.345,a,628.6981115060765
24,3.39,3.435,ɾ,303.624072237305
25,3.45,3.495,i,314.2636863608967
26,3.57,3.615,ɡ,610.4731853400888
27,3.6,3.645,o,416.22634975189743
28,3.66,3.705,ɾ,400.8480444383389
29,3.72,3.765,o,349.67473506942144
30,3.78,3.825,t̪,537.3129575389905
31,3.84,3.885,e,420.20473808061206
32,3.93,3.975,s,1493.2120886287998
33,4.02,4.065,o,404.084860177566
34,4.08,4.125,v,391.698795719428
35,4.2,4.245,k,679.1869184032814
36,4.29,4.335,e,460.7785467139334
37,4.62,4.665,k,838.9407814482668
38,4.68,4.725,u,403.51079498035386
39,4.74,4.785,ɾ,316.72091777016965
40,4.8,4.845,i,332.0467563819479
41,4.92,4.965,t̪,487.2937641618951
42,4.98,5.025,u,419.18425138421526
43,5.1,5.145,f,1111.1651338013744
44,5.19,5.235,v,337.0426793461621
45,5.22,5.265,i,406.5299317788212
46,5.31,5.355,v,390.53376466432303
47,5.37,5.415,a,768.9156197118633
48,5.52,5.565,t̪,687.7602425780857
49,5.58,5.625,a,764.6707905295256
50,5.7,5.745,u,420.30610300857415
51,5.79,5.835,n,222.81754656419267
52,5.88,5.925,t̪,469.1402533164666
53,5.94,5.985,a,838.7696890777697
54,6.06,6.105,ɡ,203.6763115596219
55,6.12,6.165,iː,340.01024717977367
56,6.27,6.315,t̪,906.6343536143761
57,6.33,6.375,u,359.9007628771906
