,start,end,phoneme,f1
0,1.32,1.365,w,378.8560903511839
1,1.35,1.395,o,616.3151501054463
2,1.41,1.4549999999999998,ɳ,243.21583356010004
3,1.53,1.575,d̪,613.7991726120143
4,1.56,1.605,u,488.3822237015055
5,1.68,1.725,a,836.0699987200712
6,1.77,1.815,v,586.7275187495233
7,1.83,1.875,a,499.820353828506
8,1.92,1.965,s,1036.7405540799716
9,1.98,2.025,a,924.6147462007302
10,2.13,2.175,t̪ʰ,553.2931279488952
11,2.19,2.235,e,567.1014187657162
12,2.28,2.325,n,272.4812575947259
13,2.34,2.385,a,682.404980694846
14,2.43,2.475,t̪,729.9303608227949
15,2.49,2.535,a,481.2960710015297
16,2.64,2.685,l,377.7806716120727
17,2.7,2.745,i,371.5191902048297
18,3.12,3.165,b,469.88266990729056
19,3.18,3.225,uː,387.2924491079336
20,3.21,3.255,l̪,378.39420322873156
21,3.33,3.375,b̤,884.7048072725609
22,3.36,3.405,a,735.295545863041
23,3.45,3.495,h,919.4872160943278
24,3.51,3.555,a,685.3768951616985
25,3.6,3.645,l̪,507.79831746114604
26,3.66,3.705,a,645.8534383188471
27,3.75,3.795,b,411.10566468474
28,3.81,3.855,a,790.9797445122606
29,3.96,4.005,ɟ,994.0880408068554
30,4.02,4.065,i,374.8331077200555
31,4.08,4.125,t̪,281.70620796842604
32,4.17,4.215,d̪,1064.857669939782
33,4.23,4.275,a,480.3262237913947
34,4.32,4.365,ɾ,445.6188991109969
35,4.38,4.425,iː,430.95560790697147
36,4.71,4.755,k,989.4254074943191
37,4.74,4.785,a,756.4082671771828
38,4.83,4.875,ɾ,446.77715190439096
39,4.86,4.905,o,519.8486188808358
40,5.01,5.055,k,678.3167553448272
41,5.07,5.115,o,406.7202212616913
42,5.13,5.175,n,239.05330954421834
43,5.22,5.265,t̪,609.1691100817734
44,5.28,5.325,o,393.2089256893304
45,5.37,5.415,l̪,356.1474110121796
46,5.4,5.445,iː,342.2037742911928
47,5.49,5.535,ʂ,1956.9164923607186
48,5.58,5.625,iː,1191.1438112103704
49,5.64,5.685,ʂ,1953.0558993879756
50,5.73,5.775,t̪,1168.0371527024336
51,5.79,5.835,a,483.2148586467818
52,5.91,5.955,e,940.06040544625
53,6.0,6.045,ɳ,238.7452535511682
54,6.06,6.105,iː,382.026480180051
55,6.12,6.165,ɡ,252.3040200763427
56,6.21,6.255,e,378.96152252678957
57,6.3,6.345,a,915.2553450060311
58,6.42,6.465,n,286.543239717233
59,6.48,6.525,o,463.7075747949701
60,6.57,6.615,f,1340.7238055641951
61,6.63,6.675,o,443.32262936323593
62,6.72,6.765,ɾ,369.6666236739634
63,6.78,6.825,uː,588.7027225030305
64,6.9,6.945,t̪,1142.6956167864787
65,7.02,7.065,v,350.6168494914397
66,7.08,7.125,e,416.39171313298124
