,start,end,phoneme,f1
0,0.75,0.795,a,875.4813804403299
1,0.84,0.885,n,303.7996154998321
2,0.93,0.975,t̪,434.25415825319243
3,0.99,1.035,a,674.5411672914246
4,1.05,1.095,ɾ,423.6354182297543
5,1.14,1.1849999999999998,i,350.88830010695176
6,1.2,1.245,o,461.5262747068393
7,1.38,1.4249999999999998,a,601.5913147236877
8,1.44,1.485,ɡ,521.7316038579855
9,1.47,1.515,a,637.5062989202734
10,1.53,1.575,ɾ,649.0839445846415
11,1.59,1.635,a,660.4823212598355
12,1.68,1.725,l,424.7727302767748
13,1.74,1.785,i,465.50442765890597
14,1.83,1.875,m,548.3687645477673
15,1.89,1.935,o,570.9514686846926
16,2.07,2.115,k,1644.7702895784346
17,2.13,2.175,a,631.9375228505572
18,2.22,2.265,v,602.6378580375675
19,2.28,2.325,a,868.67753283674
20,2.43,2.475,ɡ,369.80519907281166
21,2.49,2.535,i,430.52939945965323
22,2.73,2.775,e,489.5422901687035
23,2.82,2.865,ɾ,497.21464031097673
24,2.85,2.895,o,506.11783389765327
25,2.91,2.955,l,557.9541997444239
26,2.94,2.985,o,567.1438249171485
27,3.0,3.045,ŋ,499.9235084287852
28,3.03,3.075,v,476.9296293120278
29,3.09,3.135,iː,444.1276178741706
30,3.15,3.195,t̪,515.9140751100214
31,3.21,3.255,a,586.1106321346415
32,3.27,3.315,k,486.1573472530492
33,3.33,3.375,a,596.8025314513723
34,3.39,3.435,l̪,486.03421714808843
35,3.45,3.495,u,573.9139288560498
36,3.51,3.555,ŋ,475.41777127657923
37,3.54,3.585,n,452.68833137222566
38,3.63,3.675,t̪,415.8368275657371
39,3.69,3.735,o,430.32383368389026
