,start,end,phoneme,f1
0,0.54,0.5850000000000001,ɾ,260.4331480124776
1,0.6,0.645,u,438.953174302199
2,0.75,0.795,t̪,1228.3742099104202
3,0.81,0.8550000000000001,a,604.0610554817439
4,0.9,0.945,s,391.67619810553794
5,0.96,1.005,e,629.0328922500632
6,1.08,1.125,l,316.3947374909997
7,1.14,1.1849999999999998,i,424.70753514877185
8,1.26,1.305,n,630.3204207374101
9,1.32,1.365,a,975.5709058729586
10,1.44,1.485,l,488.26593270304176
11,1.47,1.515,a,678.5965868166356
12,1.59,1.635,k,1400.9398338017145
13,1.68,1.725,a,696.5590954046595
14,1.74,1.785,m,459.414641323735
15,1.8,1.845,e,597.8527781180653
16,1.92,1.965,m,347.7066774927316
17,1.98,2.025,iː,389.23221859823445
18,2.04,2.085,ɾ,713.5000530323425
19,2.13,2.175,k,434.6780955317198
20,2.19,2.235,a,567.894608690029
21,2.25,2.295,m,415.51066106031686
22,2.28,2.325,a,656.8198594606669
23,2.37,2.415,n,614.7207717813016
24,2.4,2.445,a,735.4691601587139
25,2.46,2.505,ɡ,421.30381650944634
26,2.52,2.565,a,603.2925828893304
27,2.64,2.685,n,332.7789079102059
28,2.67,2.715,o,473.34727747392765
29,2.76,2.805,t̪,536.7757920635923
30,2.82,2.865,e,519.7669424151261
31,2.91,2.955,ɡ,368.2346421562575
32,2.94,2.985,o,405.4937572175692
33,3.06,3.105,u,372.3933596805338
34,3.15,3.195,k,804.0944514199645
35,3.21,3.255,o,409.68868103378867
36,3.33,3.375,l,343.05800765456996
37,3.39,3.435,i,351.8706419026689
