,start,end,phoneme,f1
0,1.2,1.245,k,818.0194226058242
1,1.26,1.305,a,799.6832949574473
2,1.44,1.485,m,294.64992493678056
3,1.5,1.545,a,652.8769312212107
4,1.59,1.635,k,1083.2588669746765
5,1.68,1.725,ɾ,457.5391914261155
6,1.71,1.755,o,448.64771828724
7,1.89,1.935,t̪,700.3298868664052
8,1.95,1.995,a,798.0865727859934
9,2.1,2.145,t̪,271.5652015343231
10,2.16,2.205,i,345.9495326223632
11,2.25,2.295,ɡ,411.3681331745555
12,2.28,2.325,o,476.11835508083675
13,2.37,2.415,l̪,404.1670067792733
14,2.43,2.475,a,448.5830368714647
15,2.61,2.655,n,345.35788639772557
16,2.67,2.715,u,382.32291448877305
17,2.94,2.985,l,402.0008688614647
18,3.0,3.045,a,579.827589216855
19,3.09,3.135,k,357.1589031926568
20,3.12,3.165,e,505.65952468778465
21,3.24,3.285,s,1152.4211552345892
22,3.3,3.345,e,442.47913590603054
23,3.45,3.495,ɾ,799.4232940924113
24,3.48,3.525,e,389.28681327603124
25,3.57,3.615,s̪,1237.2072397889901
26,3.63,3.675,i,316.87930920638297
27,3.72,3.765,k,1217.8316803781981
28,3.81,3.855,o,446.70978077794774
29,3.87,3.915,ŋ,260.71973490386966
30,3.99,4.035,l,288.0384786454321
31,4.05,4.095,i,395.5835217260374
32,4.11,4.155,ɾ,389.528865676821
33,4.17,4.215,uː,402.87337886259303
34,4.26,4.305,v,465.0043009900146
35,4.29,4.335,o,530.677658771336
36,4.38,4.425,w,385.2111281881203
37,4.44,4.485,e,486.94525642766513
38,4.53,4.575,ɾ,526.6535509161188
39,4.62,4.665,o,446.65977755352003
40,4.98,5.025,kʰ,1009.798751390116
41,5.07,5.115,o,468.6265181738426
42,5.19,5.235,l,423.31960791738265
43,5.22,5.265,i,483.22460074823186
44,5.37,5.415,a,577.5084842399743
45,5.46,5.505,ɾ,355.418689671173
46,5.52,5.565,e,435.8869033564875
47,5.58,5.625,n,331.86254684408334
48,5.73,5.775,t̪,382.5656968894086
49,5.79,5.835,o,417.9247719379964
50,6.03,6.075,i,299.0781525392248
51,6.12,6.165,n,270.5752980856828
52,6.24,6.285,t̪,313.3287981486841
53,6.3,6.345,o,395.1381065006563
54,6.45,6.495,ʂ,1800.0226353433375
55,6.54,6.585,a,732.3505846507481
56,6.69,6.735,s,1525.0089827596107
57,6.87,6.915,a,489.7484544308473
58,6.93,6.975,k,482.70242068006377
59,6.99,7.035,o,479.1633104207036
60,7.05,7.095,l,362.8478145938373
61,7.11,7.155,o,481.76525360851514
62,7.2,7.245,h,938.27060442299
63,7.26,7.305,e,398.39333631534413
64,7.38,7.425,l,338.74446103688064
65,7.59,7.635,t̪,772.3716370869294
66,7.65,7.695,a,471.3499275351506
67,7.71,7.755,b,397.2362727798736
68,7.77,7.814999999999999,e,468.48834062875903
