,start,end,phoneme,f1
0,0.93,0.975,k,1178.7440491490065
1,1.02,1.065,e,461.93789861231426
2,1.23,1.275,v,420.21682055514856
3,1.29,1.335,a,660.0630598359897
4,1.38,1.4249999999999998,l,567.8143333897677
5,1.65,1.6949999999999998,e,372.67310754671695
6,1.68,1.725,iː,375.6197708602782
7,1.74,1.785,ɡ,456.6539191046136
8,1.86,1.905,ɾ,454.5100256328679
9,1.98,2.025,ɳ,491.2370469521059
10,2.01,2.055,i,555.66723225617
11,2.13,2.175,a,824.3126939811356
12,2.4,2.445,t̪,630.2502005863013
13,2.49,2.535,a,857.1546339398844
14,2.55,2.595,ɾ,583.4858523088835
15,2.61,2.655,a,484.54441600459774
16,2.67,2.715,t̪,429.9395105605121
17,2.73,2.775,e,416.38377941133723
18,2.82,2.865,m,362.98702399477486
19,2.88,2.925,iː,506.1421061591545
20,2.97,3.015,ɾ,303.85895576382745
21,3.03,3.075,iː,446.3095612394751
22,3.48,3.525,s,1446.5211539337959
23,3.54,3.585,æ,599.5320794957244
24,3.6,3.645,ɾ,550.1504750396336
25,3.69,3.735,k,795.4695681203103
26,3.75,3.795,o,494.3092068930199
27,3.81,3.855,ɡ,453.45670225573747
28,3.84,3.885,o,513.1735011302104
29,3.87,3.915,e,562.1419530343678
30,3.93,3.975,l,556.4440021693908
31,3.96,4.005,a,504.8453920592157
32,4.02,4.065,n,338.1932544524813
33,4.08,4.125,o,563.740157461024
34,4.2,4.245,k,879.9704031464354
35,4.23,4.275,o,517.0772627713199
36,4.32,4.365,ɾ,449.535051313581
37,4.38,4.425,i,329.3983480930951
38,4.47,4.515,d̪,503.25438895734635
39,4.53,4.575,iː,296.50854772900874
40,4.62,4.665,s,850.6930290975921
41,4.68,4.725,e,440.7984775816527
42,4.74,4.785,b,256.3391424180625
43,4.8,4.845,e,377.67898901909547
44,4.83,4.875,i,326.3270558157389
45,4.95,4.995,k,892.0706797306475
46,5.01,5.055,o,386.2010626914134
