,start,end,phoneme,f1
0,0.81,0.8550000000000001,e,381.9475996639596
1,0.9,0.945,t̪,461.22773601782814
2,0.93,0.975,a,467.11945217955406
3,1.11,1.155,ɳ,314.50443870903354
4,1.2,1.245,d̪,252.36803952253845
5,1.26,1.305,e,389.4706588879652
6,1.32,1.365,ɡ,1110.033766561164
7,1.38,1.4249999999999998,e,439.0195200010453
8,1.47,1.515,ɾ,407.7900198311609
9,1.53,1.575,a,592.4575053580994
10,1.74,1.785,ʂ,1949.2031701433648
11,1.83,1.875,e,510.9360867741203
12,1.92,1.965,ɳ,237.057935958791
13,2.34,2.385,a,1001.8231345502315
14,2.43,2.475,l̪,606.9034568882881
15,2.49,2.535,ɾ,379.8745398533546
16,2.55,2.595,b,376.47181924360376
17,2.61,2.655,e,403.5429870520248
18,2.7,2.745,t̪,1275.3220379906181
19,2.76,2.805,a,544.8274821257088
20,3.09,3.135,s̪,1038.544012816937
21,3.18,3.225,æ,478.4754489576065
22,3.24,3.285,t̪,281.64092707369645
23,3.36,3.405,m,351.95988041539255
24,3.39,3.435,e,482.7994355556521
25,3.45,3.495,ɳ,309.92767424653596
26,3.6,3.645,m,205.46133574620777
27,3.66,3.705,æ,1035.6774195139171
28,3.72,3.765,ɳ,274.387344779625
29,3.87,3.915,i,378.92939371443623
30,3.9,3.945,j,395.8170748467818
31,4.23,4.275,e,397.020517566479
32,4.32,4.365,ɾ,405.7740694915857
33,4.38,4.425,iː,411.6743516927228
34,4.44,4.485,ɾ,353.46679783120453
35,4.5,4.545,o,416.8863380441927
36,4.59,4.635,n,254.85579161640416
37,4.65,4.695,iː,418.6704231085643
38,4.8,4.845,d̪,803.5275605894795
39,4.86,4.905,ɾ,572.3027680821834
40,4.89,4.935,a,822.5937906576206
41,5.01,5.055,ɳ,244.04048647133965
42,5.1,5.145,d̪,238.08517328103633
43,5.16,5.205,iː,380.3089765872102
44,5.19,5.235,l̪,366.8772286932422
45,5.28,5.325,k,901.0539577200531
46,5.31,5.355,a,849.389890246126
47,5.4,5.445,n,295.36075834463065
48,5.46,5.505,a,431.6763175056264
49,5.52,5.565,ɡ,949.946399159544
50,5.64,5.685,l̪,513.4031982231476
51,5.67,5.715,a,655.394775864337
52,5.73,5.775,ɳ,223.0055375000505
53,5.85,5.895,u,287.05586386441234
54,6.54,6.585,m,308.1400888412945
55,6.6,6.645,a,769.1348831564391
56,6.66,6.705,t̪,546.6444409460586
57,6.81,6.855,u,412.73176644872757
58,7.2,7.245,ʂ,1649.2671328738677
59,7.29,7.335,a,935.0478902716286
60,7.41,7.455,n,230.72474947874116
61,7.53,7.575,k,1002.2574752887398
62,7.62,7.665,uː,430.57336849588995
63,7.65,7.695,l̪,322.89887527865704
64,7.71,7.755,l,295.5146619127055
65,7.77,7.814999999999999,iː,369.5305126764894
66,7.86,7.905,ɖ̤,1163.3281620553137
67,7.95,7.995,j,342.07732829699006
68,8.07,8.115,a,448.7742160429584
69,8.19,8.235,n,243.66843439090684
70,8.25,8.295,uː,262.2577277283593
71,8.58,8.625,a,677.9871756629801
72,8.67,8.715,l,369.8382007601902
73,8.73,8.775,w,351.29984163158224
74,8.79,8.834999999999999,a,395.5963425820906
75,8.82,8.865,j,378.33445440421747
76,8.88,8.925,l,378.1754411333335
77,8.91,8.955,e,374.21016389468343
78,9.03,9.075,ʂ,1810.2434655458417
79,9.12,9.165,u,372.8762320281412
80,9.24,9.285,a,502.37713959007453
81,9.48,9.525,m,235.78976005053056
82,9.54,9.585,u,416.731469885713
83,9.63,9.675,l,382.3324726413839
84,9.69,9.735,a,601.8290542062979
85,9.78,9.825,k,1228.5107701820002
86,9.84,9.885,a,648.3058735490971
87,10.53,10.575,iː,344.90904662207447
88,10.68,10.725,ɳ,242.34776758864868
89,10.74,10.785,u,271.99175703442546
90,10.89,10.935,a,846.9890314458335
91,10.98,11.025,t̪ʰ,483.4284177142693
92,11.04,11.085,iː,378.96242605024827
93,11.13,11.175,k,828.4375353855714
94,11.19,11.235,a,611.5354893508426
95,11.28,11.325,ɳ,221.68326248329063
96,11.31,11.355,n,629.2954893611612
97,11.37,11.415,a,685.9813515997821
98,11.46,11.505,l,386.2701761042553
99,11.58,11.625,k,1016.453387910361
100,11.67,11.715,u,367.0031162953672
101,11.91,11.955,n,278.5521587839151
102,11.94,11.985,iː,436.04211809029755
103,12.0,12.045,l̪,316.04227597117097
104,12.09,12.135,ɾ,632.2772868445321
105,12.12,12.165,a,648.1281869064991
106,12.24,12.285,ɳ,357.51777286334965
107,12.27,12.315,a,364.8891029947395
108,12.3,12.345,ŋ,264.927229862268
109,12.33,12.375,ɡ,419.14294777338495
110,12.45,12.495,l,557.3417055882917
111,12.51,12.555,a,601.6970566387666
112,12.6,12.645,ɳ,214.05963565612825
113,12.69,12.735,o,564.1538926842293
114,12.75,12.795,l̪,463.5328310203369
115,13.08,13.125,o,346.97788822546823
116,13.17,13.215,t̪,678.6062633006377
117,13.23,13.275,a,410.95851995224183
118,13.29,13.335,b,297.2320257457003
119,13.32,13.365,j,308.63674485706525
120,13.35,13.395,iː,461.722897640324
121,13.41,13.455,ʂ,1636.5675744631085
122,13.47,13.515,o,465.63345573624275
123,13.56,13.605,ʂ,1557.671093512484
124,13.62,13.665,a,532.989371664936
125,13.68,13.725,t̪,541.6298211661739
126,13.74,13.785,iː,524.3524018306476
