,start,end,phoneme,f1
0,1.14,1.1849999999999998,k,1239.4577246547367
1,1.17,1.215,e,543.1732850085616
2,1.2,1.245,æ,450.5754650007132
3,1.32,1.365,l,431.897786380293
4,1.35,1.395,a,515.9250631187887
5,1.44,1.485,ɡ,347.82754864139287
6,1.5,1.545,æ,498.21867955295676
7,1.56,1.605,ɾ,411.03249561359746
8,1.62,1.665,e,601.3561826376834
9,1.71,1.755,s,1643.699502833067
10,1.77,1.815,i,335.5872178964643
11,1.86,1.905,l,411.0441716768842
12,1.89,1.935,e,475.8714453083853
13,2.01,2.055,ɡ,418.6369478733312
14,2.04,2.085,o,467.4720325013929
15,2.13,2.175,l,423.51774809413917
16,2.16,2.205,o,436.7032070492695
17,2.22,2.265,e,460.3952054726741
18,2.31,2.355,n,299.90625089821424
19,2.37,2.415,t̪,327.19894571599707
20,2.43,2.475,e,501.3820711239979
21,2.49,2.535,ɾ,410.21126888097217
22,2.55,2.595,e,492.95666106276946
23,2.85,2.895,n,357.96937259427017
24,2.88,2.925,iː,426.6282279633871
25,3.0,3.045,ɾ,452.9048781755786
26,3.03,3.075,a,465.9875386600417
27,3.09,3.135,n,313.63889456945657
28,3.15,3.195,ɳ,393.9488862264764
29,3.18,3.225,e,428.6998816593289
30,3.27,3.315,v,306.17866591772093
31,3.3,3.345,iː,331.8759889541981
32,3.36,3.405,ɾ,526.5883981908735
33,3.39,3.435,i,327.875821189227
34,3.45,3.495,l̪,323.5167537154197
35,3.48,3.525,iː,347.67279917094817
36,3.51,3.555,e,238.58025134434988
37,3.54,3.585,k,196.0662527165911
38,3.6,3.645,t̪,1226.600680782362
39,3.66,3.705,o,353.50216078134054
40,3.72,3.765,k,533.2501030652128
41,3.81,3.855,o,410.59591576246675
42,3.84,3.885,l̪,355.20824133861555
43,3.9,3.945,l,384.4380156011571
44,3.93,3.975,o,421.5115714166595
45,3.99,4.035,v,429.08772999102086
46,4.05,4.095,a,560.7057953694203
47,4.29,4.335,s,1413.0400710262347
48,4.35,4.395,a,567.6941613989704
49,4.44,4.485,m,443.35247171095943
50,4.5,4.545,o,500.9590968486731
51,4.56,4.605,ɾ,292.3490517425809
52,4.65,4.695,t̪,650.9616386313294
53,4.68,4.725,e,391.11498614478484
54,4.74,4.785,o,410.06862258843546
55,4.8,4.845,l̪,383.9279050982913
56,4.89,4.935,l,533.2489755903433
57,4.92,4.965,a,558.7457079485904
58,5.07,5.115,p,1248.2622200412825
59,5.13,5.175,o,467.4779490917363
60,5.19,5.235,l̪,338.685382126873
61,5.25,5.295,e,380.6530920219025
62,5.37,5.415,ʂ,1679.8987920840207
63,5.43,5.475,e,417.2240039332215
64,5.49,5.535,ɡ,424.5726957121788
65,5.55,5.595,o,470.25293314882686
66,5.61,5.655,l,429.77195014191557
67,5.64,5.685,o,590.2334951477732
