,start,end,phoneme,f1
0,0.78,0.8250000000000001,a,722.9170122079156
1,0.87,0.915,ɾ,579.4499756562415
2,1.08,1.125,i,275.0336704270561
3,1.14,1.1849999999999998,k,1091.767184943271
4,1.23,1.275,a,613.2016136882764
5,1.38,1.4249999999999998,k,869.8722586248763
6,1.44,1.485,uː,1022.3544629539462
7,1.5,1.545,s̪,1675.414863828139
8,1.56,1.605,i,310.311195974347
9,1.65,1.6949999999999998,t̪,833.0877273328053
10,1.68,1.725,e,476.42807190225915
11,1.77,1.815,t̪,404.9920715903988
12,1.8,1.845,a,403.38344131645306
13,1.89,1.935,ʂ,1136.7548159800695
14,1.95,1.995,a,649.9224626076883
15,1.98,2.025,ŋ,459.3932671306501
16,2.04,2.085,m,346.64084524673
17,2.1,2.145,e,515.057818608679
18,2.25,2.295,t̪,332.01359272980324
19,2.31,2.355,e,473.463996743211
20,2.43,2.475,l,274.9831987872782
21,2.49,2.535,i,369.3080470052813
22,2.67,2.715,a,710.6899901748018
23,2.79,2.835,l̪,277.52506293802696
24,2.82,2.865,l,319.11550060716127
25,2.85,2.895,i,360.11653068205067
26,3.12,3.165,a,738.3077417477497
27,3.3,3.345,k,682.2968386889717
28,3.39,3.435,a,632.427308531801
29,3.6,3.645,ɟ,306.2635506842413
30,3.66,3.705,æ,468.1320738842481
31,3.93,3.975,t̪,522.9859120642777
32,4.02,4.065,e,385.5333626068697
33,4.17,4.215,ʂ,2242.1505667099987
34,4.26,4.305,i,320.36727328960023
35,4.38,4.425,e,447.67080332201846
36,4.47,4.515,k,598.1191039593912
37,4.59,4.635,i,399.3234537226268
38,4.68,4.725,ɡ,393.06503463973394
39,4.74,4.785,a,604.5779076782829
40,4.86,4.905,ɾ,421.5401447865652
41,4.98,5.025,k,621.3637504315295
42,5.04,5.085,e,365.3109651929022
43,5.1,5.145,ɡ,366.70281659992827
44,5.22,5.265,l,460.94627637970314
45,5.28,5.325,e,445.24887198540074
46,5.4,5.445,n,382.4845746038233
47,5.46,5.505,o,452.12739378094426
48,5.76,5.805,w,578.1657077435837
49,5.79,5.835,a,617.950885964979
50,5.94,5.985,ʂ,1808.487409603791
51,6.0,6.045,i,287.8532742812431
52,6.09,6.135,s,1289.2995483848006
53,6.15,6.195,iː,392.14056213308066
54,6.21,6.255,l,338.3333069120917
55,6.27,6.315,o,405.64487577418794
56,6.66,6.705,s̪,1274.5364449256508
57,6.75,6.795,o,353.094245414468
58,6.78,6.825,ŋ,335.67051417213946
59,6.9,6.945,k,607.9919498264989
60,6.96,7.005,a,476.17068523128927
61,7.02,7.065,w,439.78181759122697
62,7.08,7.125,a,431.3242275951005
63,7.11,7.155,n,328.5861539325502
64,7.14,7.185,ɳ,332.83934591647267
65,7.26,7.305,h,296.50574474338543
66,7.32,7.365,e,643.4692442465831
67,7.35,7.395,k,1512.4275775694916
68,7.5,7.545,iː,688.9215493236792
69,7.56,7.604999999999999,s,1329.4704490475071
70,7.62,7.665,e,427.7893919961762
71,7.68,7.725,l,344.8875031237207
72,7.74,7.785,o,450.44330729838777
73,8.04,8.084999999999999,b,339.41444821110827
74,8.07,8.115,e,562.0208433680009
75,8.1,8.145,n,471.39889016290516
76,8.16,8.205,l,430.1019985729899
77,8.22,8.265,a,679.2900015216909
78,8.31,8.355,v,413.6254807750939
79,8.37,8.415,a,667.3594787653934
80,8.52,8.565,t̪,431.3448425367263
81,8.58,8.625,a,469.6232321083765
82,8.73,8.775,d̪,247.40031464603484
83,8.79,8.834999999999999,e,393.1311625047639
84,8.97,9.015,ʂ,2162.5534657271505
85,9.06,9.105,i,326.26565174090337
86,9.21,9.255,a,466.0665707119429
87,9.3,9.345,o,450.02684101552916
88,9.45,9.495,t̪,951.7784457000205
89,9.57,9.615,l,428.66754991543314
90,9.63,9.675,a,502.58448283842876
91,9.69,9.735,ɡ,413.44412181547966
92,9.75,9.795,e,464.04667407056496
93,9.78,9.825,ɾ,392.46392392087375
94,9.81,9.855,l,443.7398519285971
95,9.84,9.885,o,453.80043525986287
96,10.08,10.125,e,371.0133389196121
97,10.29,10.335,i,592.8185787304104
98,10.35,10.395,ɾ,348.33165413012864
99,10.41,10.455,uː,377.70249837085794
100,10.53,10.575,t̪,1119.1455575229377
101,10.68,10.725,w,462.21316269489444
102,10.74,10.785,e,499.99403063317357
