,start,end,phoneme,f1
0,0.75,0.795,i,286.9772060949615
1,0.78,0.8250000000000001,j,268.16652810669103
2,0.81,0.8550000000000001,w,289.8426169280541
3,0.9,0.945,ɡ,305.80797134120894
4,0.93,0.975,w,414.53486463530163
5,0.96,1.005,a,567.4000690531869
6,1.02,1.065,l,458.6245656958895
7,1.05,1.095,a,434.13869009548495
8,1.14,1.1849999999999998,p,630.3631097617847
9,1.2,1.245,a,414.967747548276
10,1.23,1.275,i,602.4059045305688
11,1.32,1.365,k,1269.352628756478
12,1.38,1.4249999999999998,i,296.63828995073936
13,1.83,1.875,w,534.297530980564
14,1.86,1.905,o,328.836645263706
15,1.92,1.965,n,217.5548569019999
16,2.01,2.055,d̪,314.5022177454453
17,2.04,2.085,a,419.68985963993265
18,2.1,2.145,ɾ,1016.1721448787495
19,2.16,2.205,i,305.77155595545736
20,2.22,2.265,ɳ,252.1690016915351
21,2.28,2.325,t̪,331.14175942742315
22,2.34,2.385,a,597.4932641435926
23,2.82,2.865,u,669.4196910095728
24,2.85,2.895,m,499.42637657767193
25,2.91,2.955,b,266.1368367038986
26,2.97,3.015,a,529.0285271589316
27,3.03,3.075,t̪,160.78410626728126
28,3.12,3.165,e,513.1624335956619
29,3.18,3.225,ɾ,511.6444834781227
30,3.27,3.315,w,472.8577653974922
31,3.3,3.345,a,531.9869601550251
32,3.33,3.375,ɾ,544.5138642624706
33,3.42,3.465,ɡ,315.1367224280605
34,3.45,3.495,iː,329.10528201861797
35,3.51,3.555,n,283.4285024239642
36,3.57,3.615,a,586.2986229171922
37,4.02,4.065,ŋ,255.61534416188744
38,4.11,4.155,k,855.9611915274041
39,4.17,4.215,iː,363.7045523473266
40,4.2,4.245,k,371.4848874728283
41,4.23,4.275,o,543.8166311425022
42,4.29,4.335,l̪,346.4582661383442
43,4.35,4.395,o,342.0140763420146
44,4.38,4.425,n,237.02346120345484
45,4.41,4.455,m,250.35273030770244
46,4.47,4.515,o,362.4988903396739
47,4.53,4.575,t̪,675.0642283887526
48,4.59,4.635,o,359.91373546291555
49,4.65,4.695,l,245.12554964383858
50,4.68,4.725,iː,312.745102526872
51,4.74,4.785,d̪,990.939867455301
52,4.77,4.815,i,434.5464549742243
53,4.8,4.845,a,620.3237489017768
54,4.89,4.935,ɾ,484.85493465506664
55,4.95,4.995,i,258.2426185531092
56,4.98,5.025,j,290.82933914062767
57,5.01,5.055,e,387.6264113849508
58,5.1,5.145,w,366.4407781310729
59,5.13,5.175,a,449.1093055394409
60,5.16,5.205,n,303.302316933771
61,5.25,5.295,t̪,361.4955458395221
62,5.31,5.355,o,382.39283648557983
