,start,end,phoneme,f1
0,0.87,0.915,i,262.4772718267426
1,0.99,1.035,ɡ,317.03588321789675
2,1.05,1.095,iː,370.31978691405754
3,1.62,1.665,m,551.723061848966
4,1.68,1.725,o,475.241971126906
5,1.74,1.785,ɾ,401.8887869369537
6,1.8,1.845,e,483.67564331245546
7,1.89,1.935,l,399.2983801642587
8,1.95,1.995,a,500.12350682940945
9,2.07,2.115,b,303.32630955012695
10,2.13,2.175,a,607.4395696502985
11,2.25,2.295,ɾ,373.7242220904463
12,2.31,2.355,i,353.7077472981022
13,2.4,2.445,ɡ,263.55659875796795
14,2.43,2.475,i,346.4368413633407
15,2.55,2.595,n,257.6501981784428
16,2.67,2.715,ʂ,1477.8113749669908
17,2.73,2.775,æ,457.121570843682
18,2.76,2.805,n,416.89253386577485
19,2.85,2.895,æ,542.8509169389682
20,2.91,2.955,ŋ,280.7758049872265
21,2.97,3.015,ʂ,210.45445501173796
22,3.03,3.075,e,417.39686992593084
23,3.12,3.165,n,273.2159984335935
24,3.15,3.195,i,283.0847854092168
25,3.27,3.315,t̪,569.7936070360305
26,3.33,3.375,e,482.335450494836
27,3.42,3.465,v,411.46975178949526
28,3.48,3.525,a,585.6453108477941
29,3.66,3.705,i,334.9492099699043
30,3.81,3.855,t̪,934.7733803551063
31,3.87,3.915,o,367.1597283611741
32,3.93,3.975,j,334.62059444208035
33,4.14,4.185,k,704.205733080521
34,4.23,4.275,u,360.37250822111974
35,4.32,4.365,ɾ,363.1012916648403
36,4.38,4.425,a,629.4976783253882
