,start,end,phoneme,f1
0,1.32,1.365,s,1467.2868086589738
1,1.41,1.4549999999999998,u,331.7653714283032
2,1.59,1.635,s,1470.634127090669
3,1.68,1.725,n,376.57626984380875
4,1.71,1.755,a,499.663919478138
5,1.8,1.845,u,354.56922911936084
6,1.86,1.905,ɾ,334.06152945843286
7,1.92,1.965,i,363.04834282349805
8,2.01,2.055,k,1403.497237489729
9,2.1,2.145,a,661.1213232141391
10,2.19,2.235,v,377.6804912065827
11,2.25,2.295,a,562.4217345887239
12,2.31,2.355,k,414.61785995090946
13,2.37,2.415,o,535.3541708973113
14,2.43,2.475,l,490.1165740059254
15,2.58,2.625,b,405.2414270951272
16,2.64,2.685,a,757.1375262171841
17,2.76,2.805,j,555.4695439773047
18,2.82,2.865,a,643.3137731906261
19,2.94,2.985,k,835.2920114413151
20,3.03,3.075,a,629.896282162034
21,3.12,3.165,ʂ,1554.5448558749522
22,3.18,3.225,æ,515.810332894733
23,3.21,3.255,n,522.1118109876173
24,3.24,3.285,ɳ,616.5754045267773
25,3.27,3.315,ɾ,512.0803167667264
26,3.3,3.345,e,486.9225237200117
27,3.36,3.405,ɾ,473.5779090169188
28,3.39,3.435,e,387.3098638106731
29,3.42,3.465,i,296.1445461044031
30,3.48,3.525,j,350.815039685616
31,3.54,3.585,æ,533.4649214018326
32,3.6,3.645,n,311.3477659207978
33,3.69,3.735,e,522.7236311109231
34,3.78,3.825,m,768.5386037865761
35,3.87,3.915,a,678.5221003441459
36,3.99,4.035,ɾ,458.05186161269427
37,4.02,4.065,a,460.8931844178659
38,4.08,4.125,ɡ,412.6127397595451
39,4.14,4.185,o,479.04847479728454
40,4.26,4.305,k,336.55835453729435
41,4.32,4.365,e,485.17350081185265
42,4.38,4.425,ɡ,437.9443379997087
43,4.41,4.455,a,609.0969730804752
44,4.5,4.545,n,475.59265604333416
45,4.53,4.575,iː,509.35530212457877
46,4.62,4.665,a,663.9399447435254
47,4.74,4.785,t̪,529.0000105031237
48,4.8,4.845,ɾ,361.91203295300267
49,4.83,4.875,e,440.31232684760147
50,4.89,4.935,ɡ,440.05421687094133
51,5.01,5.055,i,355.19705889205034
52,5.07,5.115,ʝ,353.7910051436092
53,5.13,5.175,e,387.7660328025914
54,5.25,5.295,k,614.9514379813558
55,5.31,5.355,u,343.13612467444324
56,5.4,5.445,ɾ,465.09880037479445
57,5.46,5.505,a,667.9762234096546
58,5.7,5.745,p,714.210503120658
59,5.79,5.835,a,659.5640420371494
60,5.88,5.925,e,504.51739086642647
61,5.94,5.985,a,471.71679438963935
62,6.03,6.075,o,490.4239042420608
63,6.15,6.195,l,428.8281961974717
64,6.18,6.225,o,456.6757349138753
65,6.27,6.315,n,285.7969063860975
66,6.36,6.405,t̪,542.0336748849196
67,6.42,6.465,o,733.5887405470223
68,6.45,6.495,m,781.3282293413964
69,6.51,6.555,o,718.971489674327
70,6.57,6.615,l,506.29349033757353
71,6.72,6.765,t̪,1362.254029557866
72,6.84,6.885,v,446.41678944422347
73,6.9,6.945,e,436.8524798515786
