,start,end,phoneme,f1
0,1.44,1.485,a,829.4754552702317
1,1.56,1.605,ɳ,351.95947736511283
2,1.62,1.665,i,506.88034577299925
3,1.8,1.845,k,865.0997369578483
4,1.86,1.905,a,558.9633515589425
5,2.07,2.115,u,313.53845897524286
6,2.19,2.235,p,893.6831037285408
7,2.25,2.295,a,558.9573406792014
8,2.37,2.415,w,446.20011490198164
9,2.52,2.565,u,494.66047671205416
10,2.67,2.715,s,1365.500753324962
11,2.79,2.835,d̪,903.1301682823404
12,2.85,2.895,e,458.1348576873317
13,2.97,3.015,u,451.53739564449637
14,3.06,3.105,ɾ,391.79731465072365
15,3.12,3.165,u,457.0047459893954
16,3.69,3.735,ɳ,371.69318964739705
17,3.72,3.765,i,411.73740239671525
18,3.81,3.855,n,254.81008451885873
19,3.93,3.975,ɖ̤,953.3873453316312
20,3.99,4.035,u,355.6471693296542
21,4.11,4.155,h,1042.0033920273356
22,4.2,4.245,o,394.0455996091299
23,4.35,4.395,t̪,333.33744778501307
24,4.41,4.455,a,427.4887883630763
