,start,end,phoneme,f1
0,1.32,1.365,i,248.2339749860775
1,1.56,1.605,m,276.7824061558805
2,1.62,1.665,a,681.1897850977348
3,1.8,1.845,n,301.35880282687424
4,1.86,1.905,a,333.1514565173317
5,1.95,1.995,t̪,1143.3726306633487
6,2.01,2.055,a,564.9910102531109
7,2.1,2.145,n,241.7326486843399
8,2.19,2.235,ɳ,392.5754189972624
9,2.25,2.295,a,546.7215964438053
10,2.31,2.355,ɡ,454.9041122909834
11,2.34,2.385,o,507.1348949431795
12,2.4,2.445,ɾ,468.5486328155246
13,2.46,2.505,a,620.6289229185534
14,2.58,2.625,ɳ,240.68433303857938
15,2.67,2.715,iː,297.781050693241
16,2.76,2.805,s,1496.2357672720277
17,2.85,2.895,a,592.0601826380937
18,2.97,3.015,ɾ,434.11095286086146
19,3.03,3.075,a,427.9275666477284
20,3.12,3.165,k,791.3793657787435
21,3.21,3.255,a,495.25998760164276
22,3.27,3.315,m,145.2070759291237
23,3.39,3.435,p,771.6314730278813
24,3.42,3.465,a,525.4294584674086
25,3.51,3.555,n,309.12180638041536
26,3.54,3.585,i,359.12566243611866
27,3.57,3.615,iː,370.0787031971261
28,3.63,3.675,o,417.3713874496694
29,3.72,3.765,ɾ,416.36031046377303
30,3.78,3.825,uː,374.48989948968807
31,3.9,3.945,w,358.16756450228866
32,3.93,3.975,o,380.17608995778147
33,4.02,4.065,n,229.7196233804284
34,4.14,4.185,d̪,313.5672948900696
35,4.2,4.245,e,454.80710747966833
36,4.32,4.365,s,1950.552831769719
37,4.41,4.455,d̪,1127.2185231709002
38,4.47,4.515,u,353.30872180798684
39,4.62,4.665,kʰ,972.3584782970414
40,4.68,4.725,a,581.2913429073923
41,4.95,4.995,ɖ̤,786.3575847104338
42,5.01,5.055,e,455.9189531991888
43,5.28,5.325,ɡ,388.29384702132876
44,5.34,5.385,o,493.60401330949793
45,5.4,5.445,l,483.29026493005637
46,5.43,5.475,a,488.3931467539678
47,5.55,5.595,ɳ,287.44016176060126
48,5.61,5.655,o,394.73494855003815
49,5.76,5.805,ɳ,257.2983278523006
50,6.06,6.105,ɾ,542.4965935740759
51,6.12,6.165,a,478.0771726936295
52,6.24,6.285,v,413.8859674773984
53,6.3,6.345,e,452.59666515265144
54,6.42,6.465,ɾ,384.987021357717
55,6.48,6.525,e,577.5525169605402
56,6.57,6.615,ʂ,748.5572488912652
57,6.66,6.705,u,383.5988098766885
58,6.87,6.915,d̪,499.90039328811883
59,6.93,6.975,u,363.5331285411504
60,7.05,7.095,a,508.8966266731297
61,7.17,7.215,k,523.5763074896109
62,7.23,7.275,a,409.7828617898841
63,7.41,7.455,ɖ̤,549.7898478660425
64,7.47,7.515,e,422.68838462961236
65,7.65,7.695,a,570.1062489480302
66,7.77,7.814999999999999,ɡ,273.4444172925303
67,7.8,7.845,iː,315.4159180684825
68,7.89,7.935,d̪,342.9366498760579
69,7.95,7.995,e,422.5096818394358
